datetime,Model: PPFD_Avg+AirTC_Avg+Sedge,Model: PPFD_Avg,Model: AirTC_Avg,Model: Sedge,Model: PPFD_Avg+AirTC_Avg,Model: PPFD_Avg+Sedge,BestModel: PPFD_Avg
2016-07-13 12:00:00,-7.1708217,-5.9594088,-3.6985927,-2.4981341,-6.312363,-7.1329646,-5.977645
2016-07-13 12:30:00,-7.087831,-6.516031,-3.7334495,-2.398001,-6.793151,-7.0698085,-6.5586476
2016-07-13 13:00:00,-7.2689176,-6.375379,-3.8458622,-2.452516,-6.716419,-7.2174196,-6.411835
2016-07-13 13:30:00,-7.7308307,-6.592343,-4.068509,-2.5038648,-6.978533,-7.6821885,-6.638302
2016-07-13 14:00:00,-7.6856894,-6.818283,-4.2131643,-2.460951,-7.2198544,-7.6277122,-6.874139
2016-07-13 14:30:00,-8.031711,-7.0232763,-4.382655,-2.4929047,-7.451723,-7.9642944,-7.0881104
2016-07-13 15:00:00,-7.9389424,-7.0412316,-4.573495,-2.472989,-7.5318885,-7.8749905,-7.1068525
2016-07-13 15:30:00,-7.942038,-6.9387355,-4.7386284,-2.48903,-7.4999895,-7.8741355,-6.999867
2016-07-13 16:00:00,-7.9057016,-6.8916025,-4.9063764,-2.4894013,-7.4949713,-7.837108,-6.950669
2016-07-13 16:30:00,-7.74176,-6.707557,-5.0327315,-2.48732,-7.3331475,-7.674932,-6.758563
2016-07-13 17:00:00,-7.607114,-6.498824,-5.1076736,-2.4944208,-7.1365266,-7.55459,-6.540687
2016-07-13 17:30:00,-6.9587064,-6.272883,-5.269757,-2.4061587,-6.9388304,-6.8949594,-6.3048496
2016-07-13 18:00:00,-5.8348656,-5.9930754,-5.3738914,-2.190381,-6.675946,-5.8109803,-6.0127864
2016-07-13 18:30:00,-5.4739113,-5.697557,-5.3263993,-1.87599,-6.3094425,-5.3619285,-5.704324
2016-07-13 19:00:00,-5.008874,-5.087981,-5.299821,-1.6603994,-5.380627,-4.8915024,-5.0684433
2016-07-13 19:30:00,-4.5781403,-4.6794243,-5.506346,-1.6910971,-4.5215573,-4.5111427,-4.641965
2016-07-13 20:00:00,-4.0012536,-4.11753,-5.5220323,-1.6138933,-3.6669748,-4.019418,-4.055012
2016-07-13 20:30:00,-3.736899,-3.9166582,-5.3812985,-1.6138933,-3.380193,-3.85855,-3.8435383
2016-07-13 21:00:00,-2.9595563,-3.3781703,-5.0196605,-1.6138933,-2.5857897,-3.2787802,-3.2855918
2016-07-13 21:30:00,-3.298109,-3.6158192,-4.8841553,-1.6138933,-2.9210224,-3.5789506,-3.5268214
2016-07-13 22:00:00,-1.9023827,-2.1523118,-4.7334,-1.6138933,-1.6359148,-2.104764,-2.1966913
2016-07-13 22:30:00,-0.8515412,-0.73871756,-4.2249284,-1.6138933,-0.7821168,-0.6637845,-0.7862475
2016-07-13 23:00:00,-0.21717477,0.07996679,-3.8005486,-1.6138934,-0.21118784,0.079192646,0.05403865
2016-07-13 23:30:00,-0.13150263,0.015930777,-3.4757752,-1.6625843,-0.16448164,0.17039227,-0.011100286
2016-07-14 00:00:00,0.20401704,0.40609014,-3.3998358,-1.6865215,0.16071975,0.5840968,0.38577926
2016-07-14 00:30:00,1.0199713,1.2604686,-3.1542537,-1.7371761,0.97114074,1.4686779,1.2548727
2016-07-14 01:00:00,1.5982336,1.6753277,-2.8780873,-1.8262054,1.5001248,1.9046217,1.6783887
2016-07-14 01:30:00,1.9929825,1.8422564,-2.639432,-1.9432641,1.7991961,2.1212523,1.8492204
2016-07-14 02:00:00,2.2480066,1.9371895,-2.5227757,-2.096546,1.9559475,2.2471578,1.9463726
2016-07-14 02:30:00,2.3599799,1.9545788,-2.4725192,-2.1319082,2.0017288,2.2916715,1.9641689
2016-07-14 03:00:00,2.4618647,1.9496485,-2.3893926,-2.1578474,2.037323,2.2828114,1.9591233
2016-07-14 03:30:00,2.436581,1.884967,-2.335474,-2.1778703,2.0032454,2.2250926,1.8929292
2016-07-14 04:00:00,2.3347547,1.7907313,-2.4140565,-2.1982434,1.8930722,2.1418657,1.7964901
2016-07-14 04:30:00,2.2371547,1.5706421,-2.1691096,-2.2193274,1.7943691,1.9537379,1.5711945
2016-07-14 05:00:00,1.979534,1.1866518,-2.0135856,-2.2404118,1.5041803,1.6039575,1.1797847
2016-07-14 05:30:00,1.7607757,1.024644,-2.2198024,-2.2637072,1.3162514,1.4158307,1.0149864
2016-07-14 06:00:00,1.4621295,0.81138027,-2.5223303,-2.2886844,0.9689311,1.1885113,0.79804933
