datetime,Model: H+Water Table+Wind Spd+Active Layer,Model: H,Model: Water Table,Model: Wind Spd,Model: Active Layer,Model: H+Water Table,Model: H+Wind Spd,Model: H+Active Layer,Model: H+Water Table+Active Layer,Model: H+Wind Spd+Active Layer,BestModel: H+Wind Spd+Active Layer
2017-06-25 15:30:00,-1.2632705,-1.7084032,-0.5159705,-0.59422016,-0.57861936,-1.7267407,-1.584807,-1.3909256,-1.4257572,-1.2153648,-1.219659
2017-06-25 16:00:00,-1.2538869,-1.8355625,-0.5159705,-0.5473242,-0.57883054,-1.840696,-1.6060064,-1.5242102,-1.5904311,-1.2228687,-1.260481
2017-06-25 16:30:00,-1.2441871,-1.7934188,-0.5159705,-0.5589687,-0.5790417,-1.8029286,-1.582715,-1.4785744,-1.5367899,-1.204061,-1.2341241
2017-06-25 17:00:00,-1.3576965,-1.805638,-0.5159705,-0.58147496,-0.5792529,-1.8138788,-1.6747972,-1.4923849,-1.553249,-1.3012458,-1.2933248
2017-06-25 17:30:00,-1.3683177,-1.721358,-0.5198214,-0.610848,-0.579464,-1.736216,-1.6939529,-1.4055381,-1.4423879,-1.308177,-1.3045446
2017-06-25 18:00:00,-1.3160765,-1.6797941,-0.52367234,-0.61320186,-0.5796752,-1.6968335,-1.6461843,-1.3655607,-1.3866093,-1.2666447,-1.2729498
2017-06-25 18:30:00,-1.3445404,-1.7908058,-0.52367234,-0.58319145,-0.5798864,-1.7963177,-1.6600273,-1.4776434,-1.5304612,-1.2883171,-1.2820263
2017-06-25 19:00:00,-1.282534,-1.787075,-0.52367234,-0.5697075,-0.58009756,-1.7929744,-1.6076386,-1.4740531,-1.5263529,-1.2347409,-1.2494059
2017-06-25 19:30:00,-1.1235373,-1.6074343,-0.5275233,-0.589287,-0.58030874,-1.629853,-1.4273118,-1.2987995,-1.2986215,-1.0921503,-1.1121053
2017-06-25 20:00:00,-1.1955591,-1.5787443,-0.53137416,-0.6149944,-0.5805199,-1.6020076,-1.508884,-1.2789516,-1.2673423,-1.1609617,-1.1821257
2017-06-25 20:30:00,-1.1939391,-1.5440618,-0.53137416,-0.6166899,-0.5807311,-1.5714281,-1.506358,-1.2548928,-1.2327335,-1.1573471,-1.1875523
2017-06-25 21:00:00,-1.0346825,-1.3803388,-0.53137416,-0.6161891,-0.5809422,-1.4274714,-1.27817,-1.1722944,-1.0674613,-1.0521753,-1.030989
2017-06-25 21:30:00,-0.5832445,-1.1210688,-0.53137416,-0.59358156,-0.5811534,-1.1615056,-0.9149291,-0.7629421,-0.7440663,-0.6087874,-0.62038803
2017-06-25 22:00:00,-0.4473356,-0.95735717,-0.53137416,-0.60079676,-0.5813646,-0.95515156,-0.7042292,-0.5947295,-0.5941156,-0.45849255,-0.49677616
2017-06-25 22:30:00,-0.61102784,-1.145003,-0.53137416,-0.58234113,-0.58157575,-1.200133,-0.9365248,-0.80925673,-0.78685766,-0.63344055,-0.6255969
2017-06-25 23:00:00,-0.70677125,-1.2424127,-0.53137416,-0.52589774,-0.58178693,-1.3060206,-0.94718605,-1.0099436,-0.9328767,-0.7079916,-0.6158397
2017-06-25 23:30:00,-0.33002093,-0.8780676,-0.53137416,-0.5300232,-0.5819981,-0.8715926,-0.59200114,-0.5377857,-0.5457398,-0.2844936,-0.30101293
2017-06-26 00:00:00,0.031145442,-0.19256882,-0.53137416,-0.57319415,-0.5822093,-0.18004428,-0.0946523,-0.056803834,-0.08755348,0.04488622,0.06997084
2017-06-26 00:30:00,0.0879628,-0.05310939,-0.53137416,-0.5963856,-0.58242047,-0.06390656,-0.045385282,0.040523577,-0.0019526589,0.10433357,0.14888303
2017-06-26 01:00:00,0.22274546,0.21481119,-0.53137416,-0.6034046,-0.5826316,0.13516061,0.10736727,0.2209029,0.15355133,0.24722038,0.29893726
2017-06-26 01:30:00,0.34054244,0.32151037,-0.53137416,-0.5313453,-0.5828428,0.29246056,0.33449852,0.3322587,0.30493104,0.37114233,0.42669523
2017-06-26 02:00:00,0.1998872,0.15458022,-0.53137416,-0.49672884,-0.58305395,0.09261262,0.20657806,0.18294393,0.11818897,0.23612516,0.314982
2017-06-26 02:30:00,0.14307652,0.012267758,-0.5352251,-0.50824916,-0.5832651,-0.015531312,0.1110109,0.08449762,0.0380389,0.17915104,0.24726151
2017-06-26 03:00:00,0.17863356,0.12058412,-0.539076,-0.55178577,-0.5834763,0.062828355,0.14875053,0.15939777,0.10314541,0.2362986,0.27572393
2017-06-26 03:30:00,0.1703655,0.10296803,-0.539076,-0.5429735,-0.5836875,0.050425816,0.15197001,0.14690398,0.09266137,0.22554348,0.27069032
2017-06-26 04:00:00,0.23483692,0.25450647,-0.539076,-0.4997422,-0.58389866,0.15702121,0.261836,0.23808257,0.18154757,0.27116138,0.3525837
