,Model,MSE,Size,Number,SE,Performance
71,Ts 2.5 cm Cent+Active Layer+u*+fco2,0.6392067198138153,4,8,0.05523888087497874,1
72,Ts 5 cm Cent+Active Layer+u*+fco2,0.6287941323414531,4,9,0.05775751763118278,1
73,Ts 15 cm Cent+Active Layer+u*+fco2,0.6327134731923271,4,10,0.048631144784418684,1
74,Ts 2.5 cm Rim+Active Layer+u*+fco2,0.6322423944443158,4,11,0.042270145430215476,1
75,Ts 5 cm Rim+Active Layer+u*+fco2,0.629476017721649,4,12,0.05344238455342457,1
76,Ts 15 cm Rim+Active Layer+u*+fco2,0.6327789331115308,4,13,0.054317771580358554,1
77,Ts All Cent+Active Layer+u*+fco2,0.6288992303180523,4,14,0.0435641204450023,1
78,Ts All Rim+Active Layer+u*+fco2,0.6236007488407553,4,15,0.04195079269217608,1
79,VWC+Active Layer+u*+fco2,0.6288257128005579,4,16,0.053260626210657525,1
80,Active Layer+24H Rain+u*+fco2,0.6132033679409016,4,17,0.04404738622798986,1
81,Active Layer+VPD+u*+fco2,0.6065045181034648,4,18,0.053659602761529306,1
82,H+Water Table+Active Layer+u*+fco2,0.5615951682662889,5,0,0.0459399380229739,2
83,LE+Water Table+Active Layer+u*+fco2,0.5703333455739193,5,1,0.057236211848916245,1
84,Wind Spd+Water Table+Active Layer+u*+fco2,0.5834078662821867,5,2,0.04966839465464933,1
85,air pressure+Water Table+Active Layer+u*+fco2,0.5652986675476773,5,3,0.04843609774452878,1
86,Ta+Water Table+Active Layer+u*+fco2,0.5714986120722909,5,4,0.0537306332865447,1
87,Rn+Water Table+Active Layer+u*+fco2,0.5788767396691119,5,5,0.05016116696093168,1
88,PPFD+Water Table+Active Layer+u*+fco2,0.5867727066257341,5,6,0.05689921342324715,1
89,Water Table+Ts 2.5 cm Cent+Active Layer+u*+fco2,0.5828429649207714,5,7,0.06032329600342614,1
90,Water Table+Ts 5 cm Cent+Active Layer+u*+fco2,0.5751846086942982,5,8,0.045242368754342295,1
91,Water Table+Ts 15 cm Cent+Active Layer+u*+fco2,0.5769060830286368,5,9,0.05023950013119319,1
92,Water Table+Ts 2.5 cm Rim+Active Layer+u*+fco2,0.5759243118197261,5,10,0.053222719154140265,1
93,Water Table+Ts 5 cm Rim+Active Layer+u*+fco2,0.5898728674297372,5,11,0.0409991840388147,1
94,Water Table+Ts 15 cm Rim+Active Layer+u*+fco2,0.5918391678716043,5,12,0.041258933090338824,1
95,Water Table+Ts All Cent+Active Layer+u*+fco2,0.5812125300678441,5,13,0.053158687170635245,1
96,Water Table+Ts All Rim+Active Layer+u*+fco2,0.5722631116593633,5,14,0.039080202016863415,1
97,Water Table+VWC+Active Layer+u*+fco2,0.5830488178587694,5,15,0.04386691393902925,1
98,Water Table+Active Layer+24H Rain+u*+fco2,0.5766851442854993,5,16,0.03651187896994367,1
99,Water Table+Active Layer+VPD+u*+fco2,0.5639750570619225,5,17,0.043265739138071364,1
100,H+LE+Water Table+Active Layer+u*+fco2,0.5536036505362166,6,0,0.04644328402744505,1
101,H+Wind Spd+Water Table+Active Layer+u*+fco2,0.5580800406818859,6,1,0.041740667024450825,1
102,H+air pressure+Water Table+Active Layer+u*+fco2,0.5382493156949018,6,2,0.05124812459574444,2
103,H+Ta+Water Table+Active Layer+u*+fco2,0.5541963610792362,6,3,0.05486208353920811,1
104,H+Rn+Water Table+Active Layer+u*+fco2,0.5732522676629308,6,4,0.061290450969071646,1
105,H+PPFD+Water Table+Active Layer+u*+fco2,0.567333767557812,6,5,0.05436713738294461,1
106,H+Water Table+Ts 2.5 cm Cent+Active Layer+u*+fco2,0.5626687109879783,6,6,0.0415273320192445,1
107,H+Water Table+Ts 5 cm Cent+Active Layer+u*+fco2,0.5516221390729088,6,7,0.043622422562438715,1
108,H+Water Table+Ts 15 cm Cent+Active Layer+u*+fco2,0.5467159098769309,6,8,0.0413908565277317,1
109,H+Water Table+Ts 2.5 cm Rim+Active Layer+u*+fco2,0.5570460228739543,6,9,0.05193177274265521,1
110,H+Water Table+Ts 5 cm Rim+Active Layer+u*+fco2,0.5682410862966925,6,10,0.05707217255897282,1
111,H+Water Table+Ts 15 cm Rim+Active Layer+u*+fco2,0.5669523740768518,6,11,0.04174934392825603,1
112,H+Water Table+Ts All Cent+Active Layer+u*+fco2,0.5546904065770497,6,12,0.05713189517300385,1
113,H+Water Table+Ts All Rim+Active Layer+u*+fco2,0.5512415006555843,6,13,0.06999595358987148,1
114,H+Water Table+VWC+Active Layer+u*+fco2,0.5504433252378673,6,14,0.05552007983698077,1
115,H+Water Table+Active Layer+24H Rain+u*+fco2,0.5438538717525693,6,15,0.05242199081086549,1
116,H+Water Table+Active Layer+VPD+u*+fco2,0.5544023462193178,6,16,0.04441965403295605,1
117,H+LE+air pressure+Water Table+Active Layer+u*+fco2,0.5385781765069176,7,0,0.0444256924704409,1
118,H+Wind Spd+air pressure+Water Table+Active Layer+u*+fco2,0.527890842239576,7,1,0.04442506735694948,1
119,H+air pressure+Ta+Water Table+Active Layer+u*+fco2,0.5263860491180399,7,2,0.04968281755600837,1
