,Model,MSE,Size,Number,SE,Performance
119,H+Wind Spd+PPFD+Ts 2.5 cm Rim+Active Layer+VPD+u*,0.003453093336104136,7,8,0.00029710625050564135,1
120,H+Wind Spd+PPFD+Ts 5 cm Rim+Active Layer+VPD+u*,0.003594327672673637,7,9,0.00032590844485181876,1
121,H+Wind Spd+PPFD+Ts 15 cm Rim+Active Layer+VPD+u*,0.003534167476512796,7,10,0.00030148772204632596,1
122,H+Wind Spd+PPFD+Ts All Cent+Active Layer+VPD+u*,0.003433692324351321,7,11,0.00032537529687397054,1
123,H+Wind Spd+PPFD+Ts All Rim+Active Layer+VPD+u*,0.0035214240882301224,7,12,0.0002861943934553182,1
124,H+Wind Spd+PPFD+VWC+Active Layer+VPD+u*,0.0032966073847540975,7,13,0.0003251803657541966,2
125,H+Wind Spd+PPFD+Active Layer+24H Rain+VPD+u*,0.0035775056486797396,7,14,0.0002966055982779603,1
126,H+LE+Wind Spd+PPFD+VWC+Active Layer+VPD+u*,0.0031721292252876315,8,0,0.00027102866448731585,2
127,H+Wind Spd+air pressure+PPFD+VWC+Active Layer+VPD+u*,0.0033048703872885585,8,1,0.00040311082370492657,1
128,H+Wind Spd+Ta+PPFD+VWC+Active Layer+VPD+u*,0.0032666223991648156,8,2,0.0003608653122346189,1
129,H+Wind Spd+Rn+PPFD+VWC+Active Layer+VPD+u*,0.0032727311277816144,8,3,0.00027226443695626575,1
130,H+Wind Spd+PPFD+Water Table+VWC+Active Layer+VPD+u*,0.0033083338925709383,8,4,0.0003558690437668153,1
131,H+Wind Spd+PPFD+Ts 2.5 cm Cent+VWC+Active Layer+VPD+u*,0.003295924409226368,8,5,0.00028527825948393827,1
132,H+Wind Spd+PPFD+Ts 5 cm Cent+VWC+Active Layer+VPD+u*,0.0032241665392161068,8,6,0.00023113543537730028,1
133,H+Wind Spd+PPFD+Ts 15 cm Cent+VWC+Active Layer+VPD+u*,0.003283056329358151,8,7,0.0002962027011844793,1
134,H+Wind Spd+PPFD+Ts 2.5 cm Rim+VWC+Active Layer+VPD+u*,0.0032356288606292427,8,8,0.00032581169135448073,1
135,H+Wind Spd+PPFD+Ts 5 cm Rim+VWC+Active Layer+VPD+u*,0.00333116395369083,8,9,0.00031924319173227094,1
136,H+Wind Spd+PPFD+Ts 15 cm Rim+VWC+Active Layer+VPD+u*,0.0033340241183016724,8,10,0.00031263795503163276,1
137,H+Wind Spd+PPFD+Ts All Cent+VWC+Active Layer+VPD+u*,0.0032678506185132863,8,11,0.0002609487241974891,1
138,H+Wind Spd+PPFD+Ts All Rim+VWC+Active Layer+VPD+u*,0.0032157113246326506,8,12,0.0003283550938000454,1
139,H+Wind Spd+PPFD+VWC+Active Layer+24H Rain+VPD+u*,0.003302420068089604,8,13,0.0003675186149024666,1
140,H+LE+Wind Spd+air pressure+PPFD+VWC+Active Layer+VPD+u*,0.0032260525232351636,9,0,0.00041650297769556445,1
141,H+LE+Wind Spd+Ta+PPFD+VWC+Active Layer+VPD+u*,0.003137512813110047,9,1,0.00028696010014080597,1
142,H+LE+Wind Spd+Rn+PPFD+VWC+Active Layer+VPD+u*,0.003116817192036838,9,2,0.00035676206975601775,1
143,H+LE+Wind Spd+PPFD+Water Table+VWC+Active Layer+VPD+u*,0.0031355466797968728,9,3,0.00030333852738253245,1
144,H+LE+Wind Spd+PPFD+Ts 2.5 cm Cent+VWC+Active Layer+VPD+u*,0.0031132010191633895,9,4,0.0003049332640573659,1
145,H+LE+Wind Spd+PPFD+Ts 5 cm Cent+VWC+Active Layer+VPD+u*,0.003080265632844212,9,5,0.00030084657913678303,1
146,H+LE+Wind Spd+PPFD+Ts 15 cm Cent+VWC+Active Layer+VPD+u*,0.003109491972626139,9,6,0.0002726361120500307,1
147,H+LE+Wind Spd+PPFD+Ts 2.5 cm Rim+VWC+Active Layer+VPD+u*,0.003046190998785403,9,7,0.00031725526222990826,2
148,H+LE+Wind Spd+PPFD+Ts 5 cm Rim+VWC+Active Layer+VPD+u*,0.0032017946316522192,9,8,0.00034701750086688077,1
149,H+LE+Wind Spd+PPFD+Ts 15 cm Rim+VWC+Active Layer+VPD+u*,0.0031167901947569943,9,9,0.00029823712033749623,1
150,H+LE+Wind Spd+PPFD+Ts All Cent+VWC+Active Layer+VPD+u*,0.0030775745089511317,9,10,0.0003304511295529724,1
151,H+LE+Wind Spd+PPFD+Ts All Rim+VWC+Active Layer+VPD+u*,0.0030562990728353555,9,11,0.00031690354202890933,1
152,H+LE+Wind Spd+PPFD+VWC+Active Layer+24H Rain+VPD+u*,0.0032301479972904803,9,12,0.0003102614154823898,1
153,H+LE+Wind Spd+air pressure+PPFD+Ts 2.5 cm Rim+VWC+Active Layer+VPD+u*,0.0029676431173181798,10,0,0.0003519932809907272,1
154,H+LE+Wind Spd+Ta+PPFD+Ts 2.5 cm Rim+VWC+Active Layer+VPD+u*,0.003048891035304184,10,1,0.00034195357746274785,1
155,H+LE+Wind Spd+Rn+PPFD+Ts 2.5 cm Rim+VWC+Active Layer+VPD+u*,0.0030379237326631768,10,2,0.000416240124953847,1
