datetime,H,LE,fco2,fch4,Wind Spd,air pressure,Ta,Rn,PPFD,Water Table,Ts 2.5 cm Cent,Ts 5 cm Cent,Ts 15 cm Cent,Ts 2.5 cm Rim,Ts 5 cm Rim,Ts 15 cm Rim,Ts All Cent,Ts All Rim,VWC,Active Layer,24H Rain,Dir,ER,Time,DOY,VPD,u*
2017-06-29 19:00:00,171.1490772289566,68.29934020188962,-0.9540451209029751,0.04741682484969608,6.845548182454274,101480.60777777778,16.59,411.8,1074.0,-0.13699999999999998,6.303,12.56,7.04,10.8,0.856,0.4320000000000001,0.43576,0.97024,49.81139354826437,0.2503283410138249,3.608224830031759e-16,91.87340469789748,,19,180,783.7887112855627,0.5684044293812809
2017-06-29 19:30:00,153.23588747059256,63.77162962888078,-0.9898817193701562,0.04526551561513862,7.137929550168458,101471.0586111111,16.3,368.2,987.0,-0.1375,6.5779999999999985,12.37,7.26,10.78,1.124,0.731,0.43631999999999993,0.93112,49.80284353800492,0.2504147465437788,3.608224830031759e-16,92.09230773274349,,19,180,743.6566358697646,0.575040685132144
2017-06-29 20:00:00,142.5644981718247,59.19565311627068,,,6.857245590939047,101467.2775,15.99,321.0,895.0,-0.13799999999999998,6.891,12.11,7.5,10.53,1.461,0.935,0.43439999999999995,0.8939999999999999,49.79429015179844,0.25050115207373275,3.608224830031759e-16,91.83520170942302,,20,180,691.8337996769611,0.5997487435005616
2017-06-29 20:30:00,136.1122228751782,34.917647246738014,-1.0730168117459298,,7.1038380800453655,101453.94638888889,15.64,271.4,795.4,-0.13799999999999998,7.11,11.81,7.65,10.13,1.729,1.078,0.43048000000000003,0.8585600000000001,49.78858601244285,0.2505875576036867,3.608224830031759e-16,90.19780470309922,,20,180,673.125785780698,0.5946392437941515
2017-06-29 21:00:00,105.20768122351079,42.88222113413736,-0.6495316011081189,0.038248298468472657,6.515799304029798,101449.32111111112,15.24,220.5,694.2,-0.13799999999999998,7.31,11.62,7.79,9.77,2.011,1.285,0.42391999999999996,0.8268,49.78288036312234,0.2506739631336406,3.608224830031759e-16,86.39170743084345,,21,180,607.705421918885,0.5207861851751336
2017-06-29 21:30:00,72.77172742598607,,-0.31082154373209187,0.029143860763961218,6.788616561436492,101450.55111111111,14.54,170.5,593.7,-0.13799999999999998,7.61,11.46,8.03,9.62,2.426,1.6269999999999998,0.41472000000000003,0.7866400000000001,49.77717320001162,0.2507603686635945,3.608224830031759e-16,83.64668524365553,,21,180,542.5269193984029,0.5202390059793734
2017-06-29 22:00:00,70.10729972854188,31.34990604691147,-0.7411654094165991,0.03605758997526991,6.522670763786695,101445.82444444444,14.1,124.8,495.1,-0.13799999999999998,7.89,11.19,8.12,9.42,2.763,1.866,0.41015999999999997,0.74592,49.77146451928119,0.2508467741935484,3.608224830031759e-16,81.42681708913153,,22,180,499.3522588794699,0.545336259964805
2017-06-29 22:30:00,48.843073733593904,40.8932355819738,-0.6137790585025404,0.038482190203637474,7.101981545966602,101438.26972222222,14.15,81.0,404.7,-0.13799999999999998,7.79,10.75,7.89,9.16,2.759,2.0,0.40248000000000006,0.7,49.77146451928119,0.2509331797235023,3.608224830031759e-16,92.58606183472835,,22,180,588.7829692211646,0.5987409068057419
2017-06-29 23:00:00,23.295552754431945,20.266865156405405,-0.36864133501216373,0.02664299678385833,7.157002535611466,101440.28833333333,13.74,34.57,321.8,-0.13799999999999998,7.77,10.24,7.83,8.91,2.89,2.181,0.3903999999999999,0.6447200000000001,49.77146451928119,0.25101958525345625,3.608224830031759e-16,92.11127592795687,,23,180,580.2523075516127,0.5647692885925787
2017-06-29 23:30:00,11.256011619707413,18.107099189809865,-0.30955919670470156,0.031131694679572677,6.889588368995946,101446.50361111111,13.06,-8.03,249.7,-0.13799999999999998,7.8,9.93,7.83,8.76,3.0860000000000003,2.397,0.37711999999999996,0.60264,49.77146451928119,0.2511059907834101,3.608224830031759e-16,91.09008851661073,,23,180,528.8444885635317,0.6042788143789579
2017-06-30 00:00:00,-4.6364386613764,10.259863041155839,-0.16130811448050222,0.025606938535972373,6.5775763846587685,101451.69,12.49,-43.15,190.3,-0.13799999999999998,7.73,9.59,7.73,8.55,3.198,2.535,0.36256,0.5644,49.77146451928119,0.25119239631336404,3.608224830031759e-16,92.73086148972429,,0,181,477.6781122758169,0.5273158861763081
2017-06-30 00:30:00,-12.61900459973137,6.922477988709304,-0.12658587989379033,0.026688587623551058,5.880030988466982,101448.54,11.86,-69.92,131.5,-0.13799999999999998,7.6,9.2,7.58,8.31,3.255,2.62,0.34759999999999996,0.5264,49.77146451928119,0.251278801843318,3.608224830031759e-16,94.8113809572988,,0,181,412.954109959139,0.4986903907985931
2017-06-30 01:00:00,-26.35300656576714,5.75609932664674,0.09892693016505973,0.024533986175891653,6.1858196004815875,101453.27666666667,11.12,-85.9,107.3,-0.13799999999999998,7.44,8.86,7.44,8.1,3.301,2.745,0.33112,0.48919999999999997,49.77146451928119,0.2513652073732719,3.608224830031759e-16,91.73096138870058,,1,181,335.20648732842176,0.4865492555614946
2017-06-30 01:30:00,-31.9745296396981,,0.21635755175081978,0.02449028491830334,5.984108049445408,101450.63083333333,10.44,-92.4,81.1,-0.13799999999999998,7.25,8.45,7.25,7.85,3.314,2.8080000000000003,0.31488,0.45136,49.77431904958841,0.2514516129032258,3.608224830031759e-16,88.64369489724912,,1,181,303.63878718996125,0.4653498420992536
2017-06-30 02:00:00,-39.24396611741424,,0.17228414795540548,0.022317721397956552,6.291971301885022,101452.46555555555,9.98,-88.7,63.28,-0.13799999999999998,6.977,8.02,6.997000000000001,7.49,3.2460000000000004,2.762,0.29847999999999997,0.4206399999999999,49.77717320001162,0.2515380184331797,3.608224830031759e-16,90.50691903389162,,2,181,295.34740546110396,0.4872527681978808
2017-06-30 02:30:00,-36.38972162235535,,0.07814732195858853,0.018977048010858782,6.2589581427002585,101456.54111111112,9.54,-85.4,52.15,-0.1385,6.6629999999999985,7.59,6.711,7.06,3.135,2.639,0.2822399999999999,0.39608000000000004,49.77717320001162,0.2516244239631337,3.608224830031759e-16,90.78382082201337,,2,181,268.6604953113877,0.49607291467998543
2017-06-30 03:00:00,-49.15699527710517,,0.36716435567680134,0.02982427430272651,5.963045847305603,101457.00527777777,9.07,-84.0,46.56,-0.139,6.3610000000000015,7.25,6.44,6.698,3.031,2.564,0.26640000000000014,0.37488,49.77717320001162,0.25171082949308754,3.608224830031759e-16,90.30662843507827,,3,181,240.91911124696307,0.5115358986427962
2017-06-30 03:30:00,-37.36263156128369,,0.20047199134142177,0.020914578195610704,5.460405104826068,101466.74027777778,8.62,-78.73,46.04,-0.139,6.106,6.938,6.192,6.391,2.957,2.531,0.25192,0.35256,49.78002697103,0.2517972350230415,3.608224830031759e-16,90.75591940474676,,3,181,218.13843791313627,0.42380378646072586
2017-06-30 04:00:00,-36.44705209647146,0.6728132024990361,0.09173338066044774,0.016952550816969916,5.947212413532098,101470.4238888889,8.65,-74.64,49.68,-0.139,5.7879999999999985,6.544,5.903,6.006,2.817,2.39,0.23767999999999986,0.33232,49.78288036312234,0.2518836405529954,3.608224830031759e-16,95.89570507435663,,4,181,234.56139904259803,0.4437280884657222
2017-06-30 04:30:00,-36.50891118986123,0.7059377871780851,0.13000973145853958,0.020954320959640844,6.243953994588355,101465.65916666666,8.49,-68.82,58.47,-0.139,5.5120000000000005,6.339,5.652,5.721,2.709,2.303,0.22424000000000002,0.32288000000000006,49.78288036312234,0.2519700460829493,3.608224830031759e-16,94.5481895535604,,4,181,221.40332106353154,0.5029533446966971
